title,budget,id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,vote_average,vote_count
Beyond Borders,35000000,9839,en,Beyond Borders,6.523472,"[{""name"": ""Mandalay Pictures"", ""id"": 551}, {""name"": ""CP Medien AG"", ""id"": 5521}, {""name"": ""Camelot Pictures"", ""id"": 11728}, {""name"": ""Networxx - Film Management"", ""id"": 26107}, {""name"": ""Mel's Cite du Cinema"", ""id"": 54502}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-10-23,0,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""am"", ""name"": """"}, {""iso_639_1"": ""km"", ""name"": """"}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ce"", ""name"": """"}]",Released,Where hope survives.,6.7,110
The Monkey King 2,68490000,381902,zh,西游记之孙悟空三打白骨精,4.72629,"[{""name"": ""Filmko Pictures"", ""id"": 9175}]","[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""CN"", ""name"": ""China""}]",2016-01-22,193677158,120,"[{""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Released,,6.0,24
The Great Raid,80000000,13922,en,The Great Raid,8.923215,"[{""name"": ""Lawrence Bender Productions"", ""id"": 2253}, {""name"": ""Marty Katz Productions"", ""id"": 12552}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-08-12,10166502,132,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,The most daring rescue mission of our time is a story that has never been told,6.8,91
Deadpool,58000000,293660,en,Deadpool,514.569956,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""The Donners' Company"", ""id"": 11307}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Kinberg Genre"", ""id"": 78091}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-02-09,783112979,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Witness the beginning of a happy ending,7.4,10995
Holy Man,60000000,9713,en,Holy Man,9.265672,"[{""name"": ""Caravan Pictures"", ""id"": 175}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-10-08,0,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Comedy Where Nothing's Sacred!,4.9,111
American Sniper,58800000,190859,en,American Sniper,87.53437,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Malpaso Productions"", ""id"": 171}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}, {""name"": ""Mad Chance Productions"", ""id"": 57408}, {""name"": ""22 & Indiana Pictures"", ""id"": 57409}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-12-11,542307423,133,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The most lethal sniper in U.S. history.,7.4,4469
Goosebumps,58000000,257445,en,Goosebumps,45.351617,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}, {""name"": ""Sony Pictures Entertainment (SPE)"", ""id"": 7431}, {""name"": ""Scholastic Entertainment"", ""id"": 30246}, {""name"": ""LStar Capital"", ""id"": 34034}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-08-05,158162788,103,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The stories are alive.,6.2,995
Just Like Heaven,58000000,9007,en,Just Like Heaven,13.43573,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""UIP"", ""id"": 135}, {""name"": ""MacDonald/Parkes Productions"", ""id"": 384}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-09-16,102854431,95,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,It's a wonderful afterlife.,6.5,579
The Flintstones in Viva Rock Vegas,83000000,889,en,The Flintstones in Viva Rock Vegas,6.248309,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-04-28,59468275,90,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Get ready to rock!,4.4,134
Rambo III,63000000,1370,en,Rambo III,31.294717,"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Carolco Pictures"", ""id"": 14723}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1988-05-24,189015611,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,The first was for himself. The second for his country. This time it's to save his friend.,5.7,690
Leatherheads,58000000,4942,en,Leatherheads,7.739276,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Casey Silver Productions"", ""id"": 877}, {""name"": ""Outlaw Productions (I)"", ""id"": 19507}, {""name"": ""Smokehouse Pictures"", ""id"": 22695}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-03-24,41299492,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,"If Love Is a Game, Who'll Make the First Pass?",5.7,130
The Ridiculous 6,60000000,347969,en,The Ridiculous 6,19.694695,"[{""name"": ""Happy Madison Productions"", ""id"": 2608}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-12-11,0,119,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,4.9,388
Did You Hear About the Morgans?,58000000,24438,en,Did You Hear About the Morgans?,14.403696,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Castle Rock Entertainment"", ""id"": 97}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Banter"", ""id"": 45726}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-12-17,85280250,103,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""uk"", ""name"": ""\u0423\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0438\u0439""}]",Released,We're not in Manhattan anymore.,5.1,276
The Internship,58000000,116741,en,The Internship,1.551497,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""21 Laps Entertainment"", ""id"": 2575}, {""name"": ""Wild West Picture Show Productions"", ""id"": 2796}, {""name"": ""TSG Entertainment"", ""id"": 22213}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-06-07,44000000,119,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Hiring them was a brilliant mistake.,6.1,1658
Resident Evil: Afterlife,60000000,35791,en,Resident Evil: Afterlife,2.143764,"[{""name"": ""Impact Pictures"", ""id"": 248}, {""name"": ""Davis-Films"", ""id"": 342}, {""name"": ""Constantin Film Produktion"", ""id"": 5755}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}]",2010-09-09,300228084,97,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,She's back...And she's bringing a few of her friends.,5.8,1363
Red Tails,58000000,72431,en,Red Tails,12.29603,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Partnership Pictures"", ""id"": 22883}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-01-19,50365377,125,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,High-Octane Action and Daring Dogfights!,5.9,178
The Devil's Advocate,57000000,1813,en,The Devil's Advocate,33.8473,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Monarchy Enterprises B.V."", ""id"": 676}, {""name"": ""Kopelson Entertainment"", ""id"": 824}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Taurus Film"", ""id"": 20555}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-10-17,152944660,144,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Evil has its winning ways.,7.2,1374
That's My Boy,70000000,87428,en,That's My Boy,21.723897,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Relativity Media"", ""id"": 7295}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-06-14,58058367,116,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The story of a child… and his son.,5.5,453
DragonHeart,57000000,8840,en,DragonHeart,31.791979,"[{""name"": ""Universal Pictures"", ""id"": 33}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-05-31,115267375,103,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,You will believe.,6.4,535
After the Sunset,60000000,10589,en,After the Sunset,14.113066,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Contrafilm"", ""id"": 1836}, {""name"": ""Firm Films"", ""id"": 1838}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-11-12,61347797,97,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Who will walk away?,6.0,226
Ghost Rider: Spirit of Vengeance,57000000,71676,en,Ghost Rider: Spirit of Vengeance,48.622278,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Imagenation Abu Dhabi FZ"", ""id"": 6736}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Marvel Knights"", ""id"": 11106}, {""name"": ""Hyde Park Entertainment"", ""id"": 13816}, {""name"": ""Crystal Sky Pictures"", ""id"": 20241}, {""name"": ""Michael De Luca Productions"", ""id"": 27551}]","[{""iso_3166_1"": ""AE"", ""name"": ""United Arab Emirates""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-12-10,149217355,95,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,He Rides Again.,4.7,1135
Captain Corelli's Mandolin,57000000,1722,en,Captain Corelli's Mandolin,9.061866,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Universal Pictures"", ""id"": 33}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}]",2001-08-17,62112895,131,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""el"", ""name"": ""\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,,5.5,145
The Pacifier,56000000,10022,en,The Pacifier,35.4763,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Spyglass Entertainment"", ""id"": 158}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-03-04,113006880,95,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}]",Released,Welcome to the infantry.,5.8,842
Walking Tall,56000000,11358,en,Walking Tall,23.438398,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""WWE Studios"", ""id"": 10339}, {""name"": ""Hyde Park Entertainment"", ""id"": 13816}, {""name"": ""Burke/Samples/Foster Productions"", ""id"": 23938}, {""name"": ""Cub Eight Productions"", ""id"": 23940}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-04-02,57223890,86,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One man will stand up for what's right.,6.0,381
Forrest Gump,55000000,13,en,Forrest Gump,138.133331,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994-07-06,677945399,142,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",8.2,7927
Alvin and the Chipmunks,60000000,6477,en,Alvin and the Chipmunks,47.336034,"[{""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Bagdasarian Productions"", ""id"": 10930}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-12-13,361366633,92,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,Get your squeak on!,5.5,1177
Meet the Parents,55000000,1597,en,Meet the Parents,29.97224,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Tribeca Productions"", ""id"": 11391}, {""name"": ""Nancy Tenenbaum Films"", ""id"": 41248}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-10-06,330444045,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,First comes love. Then comes the interrogation.,6.6,1698
Pocahontas,55000000,10530,en,Pocahontas,47.845589,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Feature Animation"", ""id"": 10217}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1995-06-14,346079773,81,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,An American legend comes to life.,6.7,1457
Superman,55000000,1924,en,Superman,48.507081,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Dovemead Films"", ""id"": 51861}, {""name"": ""Film Export A.G."", ""id"": 51862}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1978-12-13,300218018,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,You'll Believe a Man Can Fly!,6.9,1022
The Nutty Professor,54000000,9327,en,The Nutty Professor,20.28119,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-06-26,128769345,95,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Inside Sherman Klump, a party animal is about to break out.",5.4,702
Hitch,70000000,8488,en,Hitch,34.576913,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Overbrook Entertainment"", ""id"": 12485}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-02-10,368100420,118,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The cure for the common man.,6.4,1665
George of the Jungle,55000000,10603,en,George of the Jungle,22.573237,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Mandeville Films"", ""id"": 10227}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-07-15,0,92,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Watch out!,5.4,496
American Wedding,55000000,8273,en,American Wedding,36.194802,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Zide-Perry Productions"", ""id"": 3169}, {""name"": ""LivePlanet"", ""id"": 7161}, {""name"": ""Loumolo & Co."", ""id"": 52942}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-08-01,231449203,103,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Forever hold your piece.,6.0,1129
Captain Phillips,55000000,109424,en,Captain Phillips,52.786917,"[{""name"": ""Columbia Pictures"", ""id"": 5}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-10-10,95000000,134,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""so"", ""name"": ""Somali""}]",Released,Out here survival is everything.,7.6,2454
Date Night,55000000,35056,en,Date Night,38.06168,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""21 Laps Entertainment"", ""id"": 2575}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-04-08,152263880,97,"[{""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One ordinary couple. One little white lie.,5.9,1122
Casper,50000000,8839,en,Casper,19.830132,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""The Harvey Entertainment Company"", ""id"": 11098}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1995-05-26,287928194,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Get an afterlife,6.0,1019
The Equalizer,55000000,156022,en,The Equalizer,79.922059,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Escape Artists"", ""id"": 1423}, {""name"": ""Mace Neufeld Productions"", ""id"": 2767}, {""name"": ""LStar Capital"", ""id"": 34034}, {""name"": ""Lonetree Entertainment"", ""id"": 41096}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-09-24,192330738,132,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,What do you see when you look at me?,7.1,2954
Maid in Manhattan,55000000,7303,en,Maid in Manhattan,19.738215,"[{""name"": ""Red Om Films"", ""id"": 2455}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-12-13,154906693,105,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,,5.6,485
Crimson Tide,53000000,8963,en,Crimson Tide,20.334629,"[{""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""Don Simpson/Jerry Bruckheimer Films"", ""id"": 10288}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1995-05-12,157387195,116,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Danger runs deep.,7.0,498
The Pursuit of Happyness,55000000,1402,en,The Pursuit of Happyness,80.581367,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Escape Artists"", ""id"": 1423}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Overbrook Entertainment"", ""id"": 12485}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-12-14,307077295,117,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}]",Released,,7.7,2525
Flightplan,55000000,9315,en,Flightplan,32.05145,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-09-22,223387299,98,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,If Someone Took Everything You Live For... How Far Would You Go To Get It Back?,6.1,772
Disclosure,55000000,8984,en,Disclosure,15.064058,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Baltimore Pictures"", ""id"": 11407}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994-12-09,214015089,123,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Sex Is Power.,5.9,210
City of Angels,55000000,795,en,City of Angels,21.272734,"[{""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Monarchy Enterprises B.V."", ""id"": 676}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Taurus Film"", ""id"": 20555}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",1998-04-10,198685114,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""pl"", ""name"": ""Polski""}]",Released,She didn't believe in angels until she fell in love with one.,6.4,529
Kill Bill: Vol. 1,30000000,24,en,Kill Bill: Vol. 1,79.754966,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""A Band Apart"", ""id"": 59}, {""name"": ""Super Cool ManChu"", ""id"": 39121}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-10-10,180949000,111,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,Go for the kill.,7.7,4949
Bowfinger,55000000,11353,en,Bowfinger,13.191829,"[{""name"": ""Universal Pictures"", ""id"": 33}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-08-12,0,97,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The con is on.,6.0,254
Kill Bill: Vol. 2,30000000,393,en,Kill Bill: Vol. 2,50.622607,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""A Band Apart"", ""id"": 59}, {""name"": ""Super Cool ManChu"", ""id"": 39121}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-04-16,152159461,136,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}]",Released,The bride is back for the final cut.,7.6,3948
Tango & Cash,55000000,9618,en,Tango & Cash,22.787667,"[{""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1989-12-22,63408614,104,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Two of L.A.'s top rival cops are going to have to work together... Even if it kills them.,6.1,458
Death Becomes Her,55000000,9374,en,Death Becomes Her,29.498304,"[{""name"": ""Universal Pictures"", ""id"": 33}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1992-07-30,149022650,104,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,In one small bottle... The fountain of youth. The secret of eternal life. The power of an ancient potion. Sometimes it works... sometimes it doesn't.,6.3,636
Shanghai Noon,55000000,8584,en,Shanghai Noon,25.400935,"[{""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Roger Birnbaum Productions"", ""id"": 961}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]","[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-05-26,56932305,110,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,The old west meets the far east.,6.2,735
Executive Decision,55000000,2320,en,Executive Decision,17.231675,"[{""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-03-15,121969216,133,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fasten your seat belts,5.8,256
Mr. Popper's Penguins,55000000,58224,en,Mr. Popper's Penguins,32.835777,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Dune Entertainment III"", ""id"": 6332}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-06-17,187361754,94,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,5.7,751
The Forbidden Kingdom,55000000,1729,en,The Forbidden Kingdom,17.097041,"[{""name"": ""Casey Silver Productions"", ""id"": 877}, {""name"": ""China Film Co-Production Corporation"", ""id"": 2269}, {""name"": ""Huayi Brothers"", ""id"": 3393}, {""name"": ""Relativity Media"", ""id"": 7295}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-04-18,127906624,104,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Released,The battle for eternity is the fantasy of a lifetime.,6.3,461
Free Birds,55000000,175574,en,Free Birds,14.414937,"[{""name"": ""Reel FX Creative Studios"", ""id"": 2787}, {""name"": ""Relativity Media"", ""id"": 7295}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-10-30,110000000,91,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Hang On To Your Nuggets,5.7,254
